# framerate: 25
# 0: id
# 1: frame
# 2: x
# 3: y
# 4: plevel (4:strong pushing 3:Mild pushing 2:Just walking 1:Falling behind)
# 5: density (-1: not in the measurement area)
# 6: speed
# 7: x_direction (0: speed is 0)
# 8: y_direction (0: speed is 0)
# 9: space (100: no peds in the direction of movement)
# 10 infid (-1: no peds in the direction of movement)
#id	frame	x	y	plevel	density	speed	x_direction	y_direction	space	infid
1	0	0.4461	1.0662	1	3.5546	0.1080	-0.9998	-0.0208	0.5030	23
2	0	0.4772	2.8428	3	4.5192	0.1539	-0.3264	-0.9452	0.1413	8
3	0	0.4773	4.1863	3	5.8701	0.0955	-0.1623	0.9867	0.0715	9
4	0	0.4055	3.3430	2	4.6664	0.0058	0.0866	0.9962	0.1100	6
5	0	0.2190	0.5355	2	2.6228	0.0672	-0.2791	-0.9602	0.2502	12
6	0	0.3314	3.8071	2	4.1886	0.0109	-0.2534	-0.9674	0.1100	4
7	0	0.2711	1.8961	3	4.0378	0.0502	0.5775	0.8164	-0.0245	13
8	0	0.2849	2.3799	2	4.0841	0.0256	-0.1755	-0.9845	-0.0609	13
9	0	0.2745	4.5672	3	3.3514	0.1043	0.9995	-0.0312	100.0000	-1
10	0	0.1536	1.5093	3	3.4948	0.0826	-0.5357	-0.8444	0.3832	23
11	0	0.1799	5.1607	2	2.6280	0.1608	-0.2768	-0.9609	0.1101	17
12	0	0.0212	-0.0417	2	-1.0000	0.0781	-0.4162	-0.9093	100.0000	-1
13	0	0.0741	2.1677	3	6.5354	0.0645	-0.0271	-0.9996	-0.0245	7
14	0	-0.0759	3.3389	2	3.5989	0.0199	-0.5163	-0.8564	0.1759	19
15	0	-0.2076	4.4343	3	3.2130	0.0254	0.8469	0.5318	0.1401	9
16	0	-0.1937	3.9907	2	3.6108	0.0575	0.1566	-0.9877	0.0503	22
17	0	-0.2464	4.9626	3	2.8859	0.0777	-0.0772	-0.9970	0.1697	15
18	0	-0.2384	0.5643	2	2.6834	0.0985	0.4744	-0.8803	0.2993	12
19	0	-0.2437	2.8300	3	2.7210	0.0323	-0.9510	-0.3093	100.0000	-1
20	0	-0.2609	2.3360	3	4.0827	0.0160	-0.0779	-0.9970	0.0149	13
21	0	-0.3241	1.4469	2	4.1641	0.0892	0.8376	0.5463	0.1218	10
22	0	-0.4033	3.6380	3	4.2462	0.0737	0.4445	-0.8958	0.0835	14
